FIPS,renter_occupied
060371224202,1283
060371224203,1826
060371230101,1346
060371230102,1158
060371230201,637
060371230202,487
060371231031,718
060371231032,1556
060371231041,632
060371231042,1046
060371231043,728
060371232031,1202
060371232032,747
060371232033,700
060371232041,1519
060371232042,1161
060371232051,1287
060371232052,902
060371232061,1703
060371233011,814
060371233012,1384
060371233031,512
060371233032,1449
060371233041,1950
060371233042,490
060371233043,963
060371234101,2310
060371234102,498
060371234201,2107
060371234202,285
060371234203,710
060371235101,1599
060371235102,2061
060371235201,1454
060371236011,565
060371236012,900
060371236013,1027
060371236021,1249
060371236022,407
060371236023,398
060371237001,266
060371237002,140
060371237003,680
060371237004,656
060371238001,781
060371238002,953
060371238003,1045
060371239011,2270
060371239012,605
060371239021,540
060371239022,1242
060371240001,279
060371240002,973
060371240003,445
060371240004,456
060371241021,1457
060371241022,792
060371241023,498
060371241031,1174
060371241041,1508
060371241042,400
060371241051,750
060371241052,1254
060371242011,452
060371242012,253
060371242013,684
060371242031,115
060371242032,1260
060371242041,1194
060371242042,577
060371243001,429
060371243002,866
060371243003,548
060371244001,738
060371244002,935
060371244003,1559
060371245001,523
060371245002,877
060371246001,160
060371246002,684
060371246003,880
060371247001,0
060371247002,277
060371247003,1534
060371247004,960
060371249021,1822
060371249022,768
060371249031,2439
060371249032,648
060371251011,1128
060371251012,1150
060371251013,873
060371251021,867
060371251022,175
060371252001,1321
060371252002,448
060371252003,560
060371253101,798
060371253102,95
060371253103,759
060371253104,438
060371253105,537
060371253211,1463
060371253212,1069
060371253221,1315
060371253222,664
060371254021,1285
060371254022,385
060371254023,1261
060371254031,1103
060371254032,1118
060371254041,2691
060371255011,1567
060371255012,910
060371255021,618
060371255022,1057
060371255023,1014
060371256001,246
060371256002,500
060371256003,584
060371271021,243
060371271022,1773
060371271023,1371
060371271031,2606
060371271041,1715
060371271042,1250
060371272101,774
060371272102,1227
060371272103,1570
060371272201,933
060371272202,936
060371272203,1530
060371273001,985
060371273002,1031
060371274001,1351
060371274002,573
060371274003,1366
060371274004,1247
060371275201,2911
060371275202,1766
060371276031,1438
060371276032,943
060371276041,1052
060371276042,1587
060371276051,552
060371276052,2603
060371276061,613
060371276062,1422
060371277111,1854
060371277112,169
060371277121,1431
060371277122,1775
060371278031,1281
060371278032,2191
060371278041,977
060371278042,1310
060371278043,842
060371278051,637
060371278052,1118
060371278053,638
060371278061,1059
060371278062,430
060371278063,874
060371279101,1366
060371279102,2297
060371279201,1680
060371279202,840
060371281011,1547
060371281012,567
060371281021,1618
060371281022,2115
060371281023,300
060371282101,3289
060371282102,1813
060371282201,898
060371282202,943
060371283021,1588
060371283022,2463
060371283031,1188
060371283032,2314
060371284001,173
060371284002,408
060371284003,642
060371284004,817
060371285001,657
060371285002,837
060371285003,390
060371285004,511
060371286011,792
060371286012,1976
060371286013,1180
060371286021,467
060371286022,361
060371286023,416
060371287031,1386
060371287032,979
060371287041,628
060371287042,241
060371288011,1384
060371288012,1250
060371288021,674
060371288022,972
060371288023,1193
060371289101,873
060371289102,492
060371289103,564
060371310211,1815
060371310212,925
060371310221,770
060371310222,1672
060371310231,1320
060371310241,994
060371310242,1243
060371311001,93
060371311002,156
060371311003,153
060371312001,394
060371312002,393
060371312003,117
060371313001,704
060371313002,314
060371313003,499
060371314001,1465
060371314002,613
060371314003,924
060371316001,441
060371316002,30
060371316003,117
060371316004,122
060371317011,1928
060371317012,1056
060371317021,1068
060371317022,66
060371318011,2565
060371318021,186
060371318022,136
060371319001,415
060371319002,42
060371319003,197
060371319004,241
060371320011,176
060371320012,81
060371320013,896
060371320021,862
060371320022,331
060371320023,587
060371321011,269
060371321012,1609
060371321013,809
060371321021,123
060371321022,633
060371321023,1990
060371323011,2039
060371323012,1476
060371323021,692
060371323022,1458
060371325011,1631
060371325012,589
060371325021,1038
060371325022,405
060371327001,195
060371327002,1713
060371327003,217
060371329001,174
060371329002,1400
060371330001,981
060371330002,354
060371330003,102
060371331011,89
060371331012,596
060371331021,1360
060371331022,812
060371340011,409
060371340012,1946
060371340021,326
060371340022,1791
060371341011,2106
060371341012,485
060371341031,1621
060371341032,338
060371341041,1518
060371341042,758
060371342011,507
060371342012,0
060371342013,683
060371343021,208
060371343022,330
060371343023,497
060371343031,78
060371343032,590
060371343033,267
060371343034,669
060371343041,516
060371343042,325
060371343051,1177
060371343052,862
060371343053,1546
060371343061,1958
060371343062,1307
060371344211,111
060371344212,247
060371344213,129
060371344221,413
060371344222,392
060371344231,71
060371344232,455
060371344241,278
060371344242,19
060371345201,2048
060371345202,803
060371345203,1921
060371345211,1304
060371345212,1395
060371345221,864
060371345222,1503
060371345223,1231
060371347101,2040
060371347102,2052
060371347103,661
060371347201,311
060371347202,1345
060371347203,793
060371348011,478
060371348012,494
060371348021,405
060371348022,477
060371349011,692
060371349012,67
060371349013,204
060371349041,415
060371349042,1616
060371349043,240
060371349051,3240
060371349052,1194
060371349061,1150
060371349062,2119
060371349071,1023
060371349072,2331
060371351021,167
060371351022,102
060371351023,204
060371351111,867
060371351112,262
060371351113,854
060371351131,1297
060371351132,1594
060371351151,939
060371351152,1706
060371351161,629
060371351162,808
060371352011,389
060371352012,91
060371352021,570
060371352022,535
060371352023,249
060371352041,386
060371352042,267
060371352043,146
060371352051,127
060371352052,345
060371370001,389
060371370002,618
060371371031,265
060371371032,397
060371371033,1004
060371371034,1211
060371371041,279
060371371042,141
060371372021,73
060371372022,1925
060371372023,131
060371372031,565
060371372032,238
060371373011,80
060371373021,47
060371373022,201
060371374011,632
060371374012,184
060371374013,521
060371374021,315
060371374022,13
060371374023,1261
060371375011,552
060371375012,1533
060371375013,686
060371375021,274
060371375022,374
060371375023,327
060371375041,219
060371380001,414
060371380002,154
060371380003,489
060371390011,829
060371390012,1087
060371390013,167
060371390014,375
060371392001,325
060371392002,436
060371392003,999
060371392004,815
060371393011,31
060371393012,256
060371393013,116
060371393021,1914
060371393022,1011
060371393023,828
060371393031,1388
060371393032,719
060371393033,1272
060371394011,265
060371394012,1307
060371394021,113
060371394022,143
060371394023,79
060371395021,703
060371395022,185
060371395041,1707
060371395042,1162
060371395051,342
060371395052,1520
060371395061,771
060371395062,900
060371396001,687
060371396002,520
060371396003,672
060371397011,272
060371397012,416
060371397013,207
060371397014,209
060371397015,131
060371397031,206
060371397041,574
060371397051,0
060371397052,25
060371397053,67
060371398011,30
060371398012,172
060371398021,141
060371398022,171
060371411011,850
060371411012,1783
060371411013,548
060371411021,538
060371411022,1223
060371412011,1665
060371412012,1208
060371412013,370
060371412021,58
060371412022,1155
060371412023,197
060371413031,1635
060371413032,1134
060371413041,896
060371413042,614
060371413051,756
060371413052,728
060371413061,681
060371413062,1642
060371414001,1281
060371414002,220
060371414003,719
060371415001,121
060371416001,247
060371416002,230
060371416003,41
060371417001,71
060371417002,0
060371417003,175
060371431011,130
060371431012,638
060371431021,1751
060371432001,1304
060371432002,652
060371432003,679
060371433011,776
060371433012,1922
060371433021,204
060371433022,723
060371433023,542
060371434011,1182
060371434012,225
060371434013,1095
060371434021,780
060371434022,149
060371435001,345
060371435002,542
060371435003,1184
060371435004,331
060371436021,309
060371436022,897
060371436023,851
060371436031,1352
060371436032,257
060371436051,1633
060371436061,1690
060371437001,426
060371437002,317
060371437003,221
060371438011,454
060371438012,825
060371438021,889
060371438022,450
060371439011,189
060371439012,97
060371439013,190
060371439021,1095
060371439022,48
060371810001,380
060371810002,371
060371810003,342
060371810004,142
060371810005,297
060371813001,536
060371813002,397
060371813003,218
060371814001,651
060371814002,1020
060371814003,1414
060371815001,227
060371815002,682
060371815003,263
060371816001,449
060371816002,1033
060371831011,262
060371831012,271
060371831013,386
060371831031,1624
060371831032,1791
060371831041,574
060371832201,66
060371832202,778
060371832203,689
060371832211,62
060371832212,1559
060371832221,269
060371832222,578
060371832223,345
060371833001,388
060371833002,682
060371833003,847
060371834011,763
060371834012,332
060371834021,880
060371834022,1223
060371835101,326
060371835102,252
060371835201,1128
060371835202,1403
060371836101,263
060371836102,1329
060371836201,1398
060371836202,191
060371837011,622
060371837012,488
060371837013,1146
060371837021,688
060371837022,770
060371838101,1686
060371838102,1808
060371838201,1539
060371838202,1256
060371851011,986
060371851012,732
060371851021,237
060371851022,660
060371852021,353
060371852022,814
060371852023,476
060371852031,698
060371852032,1048
060371852041,242
060371852042,379
060371853101,890
060371853102,914
060371853201,974
060371853202,646
060371861001,631
060371861002,373
060371861003,399
060371861004,331
060371862011,1217
060371862012,672
060371862021,189
060371862022,746
060371862031,224
060371862032,666
060371863011,453
060371863012,583
060371863013,896
060371863021,428
060371863022,916
060371863023,402
060371864011,1930
060371864012,687
060371864031,836
060371864032,847
060371864041,1094
060371864042,857
060371871011,344
060371871012,958
060371871021,263
060371871022,2181
060371872001,416
060371872002,1117
060371873001,978
060371873002,1116
060371881001,1454
060371881002,384
060371881003,909
060371882011,1182
060371882012,383
060371882013,756
060371882021,588
060371882022,0
060371882023,340
060371883001,692
060371883002,649
060371883003,726
060371891011,830
060371891012,584
060371891013,370
060371891021,317
060371891022,1086
060371891023,1310
060371892011,1459
060371892012,1129
060371892021,146
060371892022,390
060371892023,901
060371893001,0
060371893002,25
060371893003,83
060371894001,77
060371894002,291
060371894003,938
060371895011,857
060371895012,826
060371895021,767
060371895022,743
060371896001,1297
060371896002,682
060371896003,57
060371897021,195
060371897022,901
060371897031,106
060371897032,602
060371897041,16
060371897042,350
060371898011,1016
060371898012,212
060371898021,802
060371898022,320
060371899031,602
060371899032,902
060371899041,1401
060371899042,814
060371899051,917
060371899052,1007
060371899061,932
060371899062,1396
060371899071,1114
060371899072,1216
060371901011,916
060371901012,715
060371901021,1363
060371901022,927
060371902011,1671
060371902012,796
060371902021,812
060371902022,1459
060371902023,678
060371903021,1140
060371903022,842
060371903031,2068
060371903032,419
060371904011,821
060371904012,1181
060371904013,832
060371904021,1321
060371904022,836
060371905101,2419
060371905102,1248
060371905201,941
060371905202,2383
060371907011,732
060371907012,594
060371907021,458
060371907022,517
060371908011,829
060371908012,1136
060371908021,1564
060371908022,423
060371908023,646
060371909011,597
060371909012,1697
060371909013,774
060371909021,1221
060371909022,1874
060371909023,392
060371910001,1135
060371910002,1811
060371910003,1683
060371911101,1030
060371911102,719
060371911201,1746
060371911202,1540
060371912011,1618
060371912012,1629
060371912031,1553
060371912032,666
060371912041,1379
060371913011,627
060371913012,1141
060371913021,724
060371913022,871
060371914101,1154
060371914102,1720
060371914201,1996
060371914202,680
060371915001,415
060371915002,1280
060371915003,2071
060371916101,1899
060371916102,1442
060371916201,2699
060371917101,489
060371917102,1888
060371917201,1733
060371917202,1602
060371918101,1014
060371918102,929
060371918103,918
060371918201,1331
060371918202,999
060371918203,900
