Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A17006B_001,SE_A17006B_002,SE_A17006B_003,PCT_SE_A17006B_002,PCT_SE_A17006B_003
"06037102107","Census Tract 1021.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1021.07",,,,0,0,0,,
"06037103101","Census Tract 1031.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1031.01",,,,23,18,5,78.26,21.74
"06037103102","Census Tract 1031.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1031.02",,,,21,21,0,100,0
"06037103201","Census Tract 1032.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1032.01",,,,0,0,0,,
"06037103202","Census Tract 1032.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1032.02",,,,0,0,0,,
"06037103300","Census Tract 1033, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1033",,,,34,34,0,100,0
"06037103401","Census Tract 1034.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1034.01",,,,0,0,0,,
"06037103402","Census Tract 1034.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1034.02",,,,166,166,0,100,0
"06037104103","Census Tract 1041.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.03",,,,180,169,11,93.89,6.11
"06037104105","Census Tract 1041.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.05",,,,61,47,14,77.05,22.95
"06037104108","Census Tract 1041.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.08",,,,138,138,0,100,0
"06037104124","Census Tract 1041.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1041.24",,,,316,261,55,82.59,17.41
"06037104201","Census Tract 1042.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.01",,,,159,159,0,100,0
"06037104203","Census Tract 1042.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.03",,,,39,15,24,38.46,61.54
"06037104204","Census Tract 1042.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1042.04",,,,53,53,0,100,0
"06037104310","Census Tract 1043.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.10",,,,68,53,15,77.94,22.06
"06037104321","Census Tract 1043.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.21",,,,13,0,13,0,100
"06037104322","Census Tract 1043.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1043.22",,,,0,0,0,,
"06037104401","Census Tract 1044.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.01",,,,11,11,0,100,0
"06037104403","Census Tract 1044.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.03",,,,0,0,0,,
"06037104404","Census Tract 1044.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1044.04",,,,0,0,0,,
"06037104500","Census Tract 1045, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1045",,,,1,1,0,100,0
"06037104610","Census Tract 1046.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1046.10",,,,0,0,0,,
"06037104620","Census Tract 1046.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1046.20",,,,21,21,0,100,0
"06037104701","Census Tract 1047.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1047.01",,,,1,1,0,100,0
"06037104703","Census Tract 1047.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1047.03",,,,42,42,0,100,0
"06037104704","Census Tract 1047.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1047.04",,,,140,119,21,85,15
"06037104821","Census Tract 1048.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.21",,,,12,12,0,100,0
"06037104822","Census Tract 1048.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.22",,,,6,6,0,100,0
"06037104823","Census Tract 1048.23, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.23",,,,40,40,0,100,0
"06037104824","Census Tract 1048.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1048.24",,,,0,0,0,,
"06037106010","Census Tract 1060.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1060.10",,,,19,13,6,68.42,31.58
"06037106020","Census Tract 1060.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1060.20",,,,0,0,0,,
"06037106111","Census Tract 1061.11, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1061.11",,,,146,146,0,100,0
"06037106112","Census Tract 1061.12, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1061.12",,,,25,25,0,100,0
"06037106113","Census Tract 1061.13, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1061.13",,,,21,21,0,100,0
"06037106114","Census Tract 1061.14, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1061.14",,,,65,47,18,72.31,27.69
"06037106403","Census Tract 1064.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.03",,,,36,36,0,100,0
"06037106405","Census Tract 1064.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.05",,,,340,203,137,59.71,40.29
"06037106406","Census Tract 1064.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.06",,,,43,37,6,86.05,13.95
"06037106407","Census Tract 1064.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106407",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.07",,,,75,75,0,100,0
"06037106408","Census Tract 1064.08, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1064.08",,,,29,29,0,100,0
"06037106510","Census Tract 1065.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1065.10",,,,73,73,0,100,0
"06037106520","Census Tract 1065.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1065.20",,,,211,163,48,77.25,22.75
"06037106603","Census Tract 1066.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.03",,,,35,35,0,100,0
"06037106604","Census Tract 1066.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.04",,,,37,37,0,100,0
"06037106641","Census Tract 1066.41, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.41",,,,51,51,0,100,0
"06037106642","Census Tract 1066.42, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.42",,,,33,33,0,100,0
"06037106643","Census Tract 1066.43, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.43",,,,52,52,0,100,0
"06037106645","Census Tract 1066.45, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.45",,,,9,9,0,100,0
"06037106646","Census Tract 1066.46, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.46",,,,56,56,0,100,0
"06037106648","Census Tract 1066.48, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.48",,,,0,0,0,,
"06037106649","Census Tract 1066.49, Los Angeles County, California","ca","140","00",,,,"06","037",,,"106649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1066.49",,,,28,28,0,100,0
"06037107010","Census Tract 1070.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"107010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1070.10",,,,24,24,0,100,0
"06037107020","Census Tract 1070.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"107020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1070.20",,,,44,44,0,100,0
"06037108101","Census Tract 1081.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1081.01",,,,15,15,0,100,0
"06037108102","Census Tract 1081.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1081.02",,,,55,33,22,60,40
"06037108103","Census Tract 1081.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1081.03",,,,39,39,0,100,0
"06037108104","Census Tract 1081.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1081.04",,,,81,81,0,100,0
"06037108202","Census Tract 1082.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1082.02",,,,1032,1032,0,100,0
"06037108203","Census Tract 1082.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1082.03",,,,255,255,0,100,0
"06037108204","Census Tract 1082.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"108204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1082.04",,,,49,49,0,100,0
"06037109100","Census Tract 1091, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1091",,,,52,46,6,88.46,11.54
"06037109200","Census Tract 1092, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1092",,,,86,81,5,94.19,5.81
"06037109300","Census Tract 1093, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1093",,,,50,35,15,70,30
"06037109400","Census Tract 1094, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1094",,,,14,14,0,100,0
"06037109500","Census Tract 1095, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1095",,,,11,0,11,0,100
"06037109601","Census Tract 1096.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1096.01",,,,49,49,0,100,0
"06037109603","Census Tract 1096.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1096.03",,,,42,42,0,100,0
"06037109604","Census Tract 1096.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1096.04",,,,58,58,0,100,0
"06037109700","Census Tract 1097, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1097",,,,103,54,49,52.43,47.57
"06037109800","Census Tract 1098, Los Angeles County, California","ca","140","00",,,,"06","037",,,"109800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1098",,,,27,27,0,100,0
"06037111100","Census Tract 1111, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1111",,,,83,83,0,100,0
"06037111201","Census Tract 1112.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1112.01",,,,7,7,0,100,0
"06037111202","Census Tract 1112.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1112.02",,,,61,61,0,100,0
"06037111204","Census Tract 1112.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1112.04",,,,92,69,23,75,25
"06037111205","Census Tract 1112.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1112.05",,,,106,86,20,81.13,18.87
"06037111206","Census Tract 1112.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1112.06",,,,151,129,22,85.43,14.57
"06037111302","Census Tract 1113.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1113.02",,,,197,197,0,100,0
"06037111303","Census Tract 1113.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1113.03",,,,68,68,0,100,0
"06037111304","Census Tract 1113.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1113.04",,,,244,244,0,100,0
"06037111401","Census Tract 1114.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1114.01",,,,27,27,0,100,0
"06037111402","Census Tract 1114.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"111402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1114.02",,,,0,0,0,,
"06037113101","Census Tract 1131.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1131.01",,,,49,49,0,100,0
"06037113102","Census Tract 1131.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1131.02",,,,14,14,0,100,0
"06037113211","Census Tract 1132.11, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.11",,,,230,230,0,100,0
"06037113212","Census Tract 1132.12, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.12",,,,41,41,0,100,0
"06037113213","Census Tract 1132.13, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.13",,,,93,93,0,100,0
"06037113231","Census Tract 1132.31, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.31",,,,48,48,0,100,0
"06037113232","Census Tract 1132.32, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.32",,,,138,138,0,100,0
"06037113234","Census Tract 1132.34, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.34",,,,86,86,0,100,0
"06037113235","Census Tract 1132.35, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.35",,,,53,53,0,100,0
"06037113237","Census Tract 1132.37, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.37",,,,315,304,11,96.51,3.49
"06037113238","Census Tract 1132.38, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.38",,,,108,108,0,100,0
"06037113239","Census Tract 1132.39, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1132.39",,,,238,120,118,50.42,49.58
"06037113301","Census Tract 1133.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1133.01",,,,105,64,41,60.95,39.05
"06037113303","Census Tract 1133.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1133.03",,,,22,22,0,100,0
"06037113322","Census Tract 1133.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1133.22",,,,145,145,0,100,0
"06037113323","Census Tract 1133.23, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1133.23",,,,98,98,0,100,0
"06037113324","Census Tract 1133.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1133.24",,,,68,62,6,91.18,8.82
"06037113423","Census Tract 1134.23, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1134.23",,,,50,50,0,100,0
"06037113424","Census Tract 1134.24, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1134.24",,,,54,54,0,100,0
"06037113425","Census Tract 1134.25, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1134.25",,,,188,182,6,96.81,3.19
"06037113426","Census Tract 1134.26, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1134.26",,,,11,5,6,45.45,54.55
"06037113427","Census Tract 1134.27, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1134.27",,,,248,248,0,100,0
"06037113428","Census Tract 1134.28, Los Angeles County, California","ca","140","00",,,,"06","037",,,"113428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1134.28",,,,0,0,0,,
"06037115101","Census Tract 1151.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1151.01",,,,17,17,0,100,0
"06037115103","Census Tract 1151.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1151.03",,,,127,111,16,87.4,12.6
"06037115104","Census Tract 1151.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1151.04",,,,594,506,88,85.19,14.81
"06037115202","Census Tract 1152.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1152.02",,,,144,144,0,100,0
"06037115203","Census Tract 1152.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1152.03",,,,79,79,0,100,0
"06037115204","Census Tract 1152.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1152.04",,,,280,264,16,94.29,5.71
"06037115301","Census Tract 1153.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1153.01",,,,93,93,0,100,0
"06037115302","Census Tract 1153.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1153.02",,,,101,101,0,100,0
"06037115401","Census Tract 1154.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1154.01",,,,149,149,0,100,0
"06037115403","Census Tract 1154.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1154.03",,,,169,169,0,100,0
"06037115404","Census Tract 1154.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"115404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1154.04",,,,81,81,0,100,0
"06037117101","Census Tract 1171.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"117101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 1171.01",,,,315,305,10,96.83,3.17
